freq,sitc06,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,TOTAL,CN_X_HK,MIO_EUR,RO	189 	282 	392 	583 	852 	1316 	1738 	1667 	2397 	1903 	2549 	2528 	2086 	1972 	2354 	2889 	3440 	3789 	4407 	4537 	5059 	6198 	7384 	6754 
A,TOTAL,CN_X_HK,MIO_EUR,SE	1859 	1809 	1823 	2295 	2558 	3196 	3906 	4716 	4776 	4145 	5599 	5969 	6279 	6172 	6543 	7414 	7133 	7385 	7756 	8527 	8097 	10797 	13198 	9580 
A,TOTAL,CN_X_HK,MIO_EUR,SI	149 	177 	238 	291 	141 	213 	305 	447 	616 	553 	934 	1046 	912 	1018 	1131 	1459 	1321 	1436 	1777 	2016 	2150 	5871 	7884 	9867 
A,TOTAL,CN_X_HK,MIO_EUR,SK	191 	260 	366 	493 	387 	408 	739 	1587 	2078 	1414 	2039 	2215 	2441 	2500 	2471 	2748 	3087 	3037 	2842 	2902 	2772 	3581 	4581 	4311 
A,TOTAL,DAC,MIO_EUR,AT	4272 	4738 	5160 	5377 	6153 	7571 	9602 	10893 	12574 	9343 	11702 	13038 	13900 	15051 	15541 	15435 	14826 	17397 	19102 	19274 	16212 	21015 	24987 	22757 
A,TOTAL,DAC,MIO_EUR,BE	21305 	21765 	22812 	22456 	25827 	30101 	35141 	39928 	41461 	31952 	39285 	46268 	45191 	43039 	47198 	49944 	51439 	54057 	55521 	55512 	52675 	67475 	91625 	75148 
A,TOTAL,DAC,MIO_EUR,BG	746 	942 	1115 	1575 	2028 	2521 	4195 	5404 	6130 	3731 	4016 	4288 	4232 	4545 	4917 	4951 	5188 	6359 	6995 	7410 	7743 	9879 	15364 	13302 
A,TOTAL,DAC,MIO_EUR,CY	496 	553 	551 	660 	550 	588 	828 	975 	1024 	699 	852 	741 	664 	467 	1117 	1026 	1105 	1299 	1293 	1103 	1023 	1296 	1953 	1923 
A,TOTAL,DAC,MIO_EUR,CZ	2201 	3167 	4631 	5264 	4099 	3705 	5844 	7804 	9150 	7391 	11923 	14472 	12871 	11985 	13638 	16650 	15271 	17650 	21353 	23250 	24079 	28354 	44456 	39976 
A,TOTAL,DAC,MIO_EUR,DE	61040 	61184 	59799 	64029 	72985 	84157 	107898 	119323 	128041 	104059 	137277 	152748 	149631 	144255 	147812 	158412 	158489 	171493 	177503 	179570 	172920 	209120 	277964 	229152 
A,TOTAL,DAC,MIO_EUR,DK	3687 	3940 	3933 	4351 	5261 	6189 	6967 	7814 	9089 	7314 	9032 	9515 	9965 	9938 	10271 	10788 	10601 	11250 	11441 	11971 	12097 	15273 	19878 	14449 
A,TOTAL,DAC,MIO_EUR,EE	308 	599 	497 	496 	426 	454 	797 	797 	973 	523 	736 	1105 	1339 	983 	970 	973 	1030 	1154 	1578 	1357 	1373 	2167 	2192 	1701 
