freq,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,LDC,PC_GNI,EU27_2020	0.09 	0.10 	0.12 	0.14 	0.12 	0.11 	0.11 	0.11 	0.12 	0.12 	0.13 	0.12 	0.10 	0.10 	0.09 	0.08 	0.09 	0.10 	0.11 	0.10 	0.12 b	0.11 	0.10 
A,LDC,PC_GNI,FI	0.10 	0.10 	0.12 	0.12 	0.12 	0.13 	0.14 	0.15 	0.15 	0.19 	0.20 	0.17 	0.18 	0.19 	0.21 	0.18 	0.13 	0.13 	0.11 	0.14 	0.14 b	0.16 	0.11 
A,LDC,PC_GNI,FR	0.09 	0.09 	0.13 	0.17 	0.17 	0.10 	0.12 	0.11 	0.11 	0.12 	0.14 	0.13 	0.09 	0.12 	0.09 	0.10 	0.08 	0.10 	0.12 	0.11 	0.14 b	0.13 	0.12 
A,LDC,PC_GNI,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.01 	: 	0.01 	0.02 	0.02 	0.03 	0.01 	0.02 b	0.02 	0.01 
A,LDC,PC_GNI,HU	: 	: 	: 	: 	0.01 	0.04 	0.02 	0.04 	0.02 	0.03 	0.03 	0.02 	0.02 	0.02 	0.02 	0.02 	0.03 	0.02 	0.05 	0.04 	0.03 b	0.04 	0.02 
A,LDC,PC_GNI,IE	0.15 	0.18 	0.23 	0.22 	0.22 	0.21 	0.28 	0.28 	0.30 	0.28 	0.29 	0.27 	0.24 	0.23 	0.18 	0.15 	0.14 	0.14 	0.13 	0.12 	0.12 b	0.11 	0.11 
A,LDC,PC_GNI,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.10 	0.09 	0.10 	0.08 	0.08 	0.12 	0.10 	0.10 b	0.11 	0.13 
A,LDC,PC_GNI,IT	0.05 	0.05 	0.10 	0.08 	0.05 	0.08 	0.04 	0.06 	0.07 	0.05 	0.06 	0.07 	0.03 	0.05 	0.04 	0.05 	0.05 	0.06 	0.06 	0.06 	0.06 b	0.08 	0.05 
A,LDC,PC_GNI,LT	: 	: 	: 	: 	0.01 	0.02 	0.03 	0.06 	0.05 	0.04 	0.06 	0.05 	0.06 	0.04 	0.02 	0.02 	0.03 	0.02 	0.02 	0.02 	0.02 b	0.02 	0.02 
A,LDC,PC_GNI,LU	0.22 	0.24 	0.28 	0.27 	0.26 	0.28 	0.34 	0.36 	0.38 	0.38 	0.40 	0.36 	0.37 	0.38 	0.43 	0.40 	0.42 	0.43 	0.46 	0.47 	0.48 b	0.45 	0.46 
A,LDC,PC_GNI,LV	: 	: 	: 	: 	: 	0.02 	0.02 	0.02 	0.00 	0.00 	0.00 	0.00 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 b	0.02 	0.03 
A,LDC,PC_GNI,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.02 	0.02 	0.02 	0.02 	0.01 	0.03 	0.02 	0.01 	0.01 b	0.02 	0.01 
A,LDC,PC_GNI,NL	0.22 	0.26 	0.30 	0.29 	0.30 	0.27 	0.20 	0.23 	0.24 	0.21 	0.24 	0.17 	0.15 	0.17 	0.13 	0.14 	0.15 	0.13 	0.15 	0.14 	0.12 b	0.09 	0.12 
A,LDC,PC_GNI,NO	0.27 	0.28 	0.35 	0.38 	0.37 	0.35 	0.35 	0.34 	0.33 	0.33 	0.34 	0.31 	0.27 	0.30 	0.28 	0.27 	0.26 	0.28 	0.27 	0.28 	0.32 b	0.25 	0.20 
A,LDC,PC_GNI,PL	: 	: 	: 	: 	0.02 	0.02 	0.04 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.03 	0.04 	0.02 	0.04 	0.02 	0.02 b	0.02 	0.02 
A,LDC,PC_GNI,PT	0.15 	0.15 	0.16 	0.11 	0.52 	0.09 	0.10 	0.10 	0.10 	0.10 	0.13 	0.15 	0.09 	0.07 	0.05 	0.05 	0.05 	0.06 	0.06 	0.05 	0.05 b	0.06 	0.03 
A,LDC,PC_GNI,RO	: 	: 	: 	: 	: 	: 	: 	: 	0.02 	0.02 	0.02 	0.02 	0.01 	0.01 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 b	0.02 	0.01 
A,LDC,PC_GNI,SE	0.24 	0.23 	0.27 	0.28 	0.24 	0.31 	0.29 	0.30 	0.32 	0.35 	0.30 	0.35 	0.29 	0.31 	0.29 	0.29 	0.27 	0.31 	0.34 	0.32 	0.35 b	0.32 	0.28 
A,LDC,PC_GNI,SI	: 	: 	: 	: 	: 	: 	: 	: 	0.03 	0.03 	0.03 	0.02 	0.02 	0.02 	0.02 	0.02 	0.03 	0.03 	0.02 	0.02 	0.02 b	0.03 	0.06 
A,LDC,PC_GNI,SK	: 	: 	: 	: 	0.02 	0.07 	0.05 	0.04 	0.05 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 b	0.02 	0.02 
