freq,fin_source,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,GRNT_NGO,MEUR_KP21,DE	1250 	1214 	1159 	1168 	1196 	1580 	1379 	1172 	1409 	1207 	1348 	1387 	1294 	1244 	1315 	1399 	1428 	1444 	1237 	1432 	1369 	1279 	1629 
A,GRNT_NGO,MEUR_KP21,DK	51 	27 	: 	: 	63 	85 	74 	85 	107 	99 	154 	163 	62 	71 	142 	15 	89 	119 	10 	278 	162 	160 	239 
A,GRNT_NGO,MEUR_KP21,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	0 	0 	0 	0 	: 
A,GRNT_NGO,MEUR_KP21,EL	: 	: 	7 	8 	16 	0 	8 	5 	1 	1 	8 	0 	1 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 
A,GRNT_NGO,MEUR_KP21,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	597 	: 	0 	1 	3 	2 	1 
A,GRNT_NGO,MEUR_KP21,EU27_2020	2243 	2178 	1887 	2294 	2328 	2955 	2590 	2407 	2558 	2611 	3208 	2933 	2318 	3486 	2682 	2672 	4571 	2195 	1809 	3273 	3669 	1698 	2647 
A,GRNT_NGO,MEUR_KP21,FI	7 	13 	15 	15 	15 	17 	26 	19 	11 	15 	13 	12 	15 	14 	83 	47 	108 	: 	: 	: 	: 	: 	: 
A,GRNT_NGO,MEUR_KP21,IE	137 	149 	115 	306 	227 	291 	307 	262 	215 	155 	275 	455 	134 	76 	338 	482 	466 	336 	378 	157 	120 	: 	156 
A,GRNT_NGO,MEUR_KP21,IT	56 	50 	: 	31 	50 	93 	119 	54 	84 	132 	128 	89 	78 	47 	98 	122 	79 	59 	20 	57 	25 	49 	545 
A,GRNT_NGO,MEUR_KP21,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 
A,GRNT_NGO,MEUR_KP21,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	0 	: 
