freq,aquaenv,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CST_NR,ES	1927 	1926 	1931 	1942 	1948 	1949 	1960 	1965 	1968 	1969 	1984 	1987 
A,CST_NR,EU27_2020	14807 	14761 	14718 	14115 	14150 	14181 	14293 	14381 	14404 	14361 	14471 	14519 
A,CST_NR,FI	84 	84 	82 	81 	77 	77 	77 	76 	77 	78 	78 	78 
A,CST_NR,FR	2000 	2006 	2006 	2016 	2040 	2043 	2043 	2041 	2044 	2055 	2061 	2074 
A,CST_NR,HR	906 	912 	919 	918 	908 	922 	949 	981 	953 	894 	894 	894 
A,CST_NR,HU	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,CST_NR,IE	126 	127 	126 	127 	128 	131 	133 	136 	138 	139 	139 	139 
A,CST_NR,IT	4901 	4880 	4867 	4864 	4866 	4864 	4864 	4871 	4864 	4848 	4850 	4854 
A,CST_NR,LT	16 	16 	16 	16 	16 	16 	16 	16 	16 	16 	16 	16 
A,CST_NR,LU	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,CST_NR,LV	32 	32 	33 	33 	33 	33 	33 	33 	33 	33 	32 	33 
A,CST_NR,ME	83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CST_NR,MK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,CST_NR,MT	87 	87 	87 	87 	87 	87 	87 	87 	87 	87 	87 	87 
A,CST_NR,NL	87 	90 	89 	90 	91 	91 	91 	91 	90 	91 	90 	91 
A,CST_NR,PL	89 	88 	83 	85 	83 	89 	97 	146 	163 	166 	177 	185 
A,CST_NR,PT	431 	437 	446 	452 	460 	464 	480 	480 	481 	493 	502 	509 
A,CST_NR,RO	49 	49 	49 	49 	49 	49 	49 	49 	49 	49 	49 	49 
A,CST_NR,RS	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,CST_NR,SE	249 	248 	247 	245 	246 	245 	244 	244 	244 	248 	257 	261 
A,CST_NR,SI	21 	21 	21 	21 	21 	21 	21 	21 	21 	21 	21 	21 
A,CST_NR,SK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,CST_NR,XK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,INL_EXC_NR,AL	: 	: 	: 	: 	: 	: 	: 	0 	3 	3 	1 	1 
A,INL_EXC_NR,AT	223 	196 	233 	236 	239 	251 	250 	256 	257 	255 	255 	252 
A,INL_EXC_NR,BE	48 	51 	50 	55 	58 	58 	58 	60 	57 	57 	58 	63 
A,INL_EXC_NR,BG	1 	4 	3 	4 	4 	4 	1 	1 	1 	0 	4 	4 
A,INL_EXC_NR,CH	131 	34 	122 	128 	109 	145 	116 	144 	160 	136 	156 	153 
A,INL_EXC_NR,CZ	116 	120 	120 	116 	121 	127 	126 	125 	124 	125 	126 	120 
A,INL_EXC_NR,DE	1749 	1731 	1775 	1777 	1790 	1786 	1787 	1810 	1802 	1769 	1764 	1755 
A,INL_EXC_NR,DK	98 	105 	107 	105 	105 	105 	106 	107 	110 	112 	118 	119 
A,INL_EXC_NR,EE	26 	24 	23 	23 	23 	22 	20 	21 	20 	26 	28 	29 
A,INL_EXC_NR,EL	4 	2 	2 	1 	2 	1 	2 	1 	2 	3 	3 	3 
A,INL_EXC_NR,ES	101 	106 	116 	117 	125 	121 	124 	127 	139 	141 	147 	157 
A,INL_EXC_NR,EU27_2020	4569 	4604 	4950 	5083 	5252 	5341 	5391 	5502 	5486 	5412 	5538 	5659 
A,INL_EXC_NR,FI	192 	208 	186 	190 	202 	206 	203 	205 	211 	213 	214 	214 
A,INL_EXC_NR,FR	705 	633 	876 	919 	928 	947 	977 	1008 	987 	946 	936 	949 
A,INL_EXC_NR,HR	3 	0 	3 	3 	4 	4 	4 	14 	7 	6 	8 	11 
A,INL_EXC_NR,HU	127 	132 	128 	155 	169 	179 	182 	183 	182 	184 	165 	176 
A,INL_EXC_NR,IE	6 	7 	7 	8 	8 	8 	8 	8 	8 	8 	8 	8 
A,INL_EXC_NR,IT	499 	475 	497 	555 	596 	599 	599 	605 	604 	592 	582 	594 
A,INL_EXC_NR,LT	70 	69 	81 	82 	82 	83 	83 	85 	86 	88 	93 	94 
A,INL_EXC_NR,LU	10 	11 	11 	11 	11 	11 	12 	11 	12 	14 	14 	13 
A,INL_EXC_NR,LV	9 	9 	11 	13 	14 	18 	20 	20 	19 	16 	17 	17 
A,INL_EXC_NR,NL	268 	397 	423 	441 	461 	462 	455 	460 	468 	474 	471 	477 
A,INL_EXC_NR,PL	76 	86 	74 	61 	74 	83 	90 	90 	83 	82 	222 	302 
A,INL_EXC_NR,PT	51 	56 	57 	56 	69 	80 	94 	101 	102 	102 	113 	103 
A,INL_EXC_NR,RO	: 	: 	0 	0 	1 	1 	0 	0 	0 	0 	0 	1 
A,INL_EXC_NR,SE	152 	149 	129 	125 	138 	150 	157 	166 	167 	161 	157 	162 
A,INL_EXC_NR,SI	13 	9 	14 	11 	12 	14 	14 	20 	18 	20 	19 	17 
A,INL_EXC_NR,SK	22 	24 	24 	19 	16 	21 	19 	18 	20 	18 	16 	19 
A,INL_EXC_PC,AL	: 	: 	: 	: 	: 	: 	: 	0.0 	50.0 	50.0 	16.7 	16.7 
A,INL_EXC_PC,AT	83.5 	73.7 	87.6 	88.7 	90.2 	95.1 	95.1 	97.3 	98.5 	97.7 	97.7 	96.9 
A,INL_EXC_PC,BE	60.8 	63.0 	70.4 	80.9 	81.7 	81.7 	81.7 	82.2 	78.1 	74.0 	71.6 	72.4 
A,INL_EXC_PC,BG	25.0 	100.0 	75.0 	100.0 	100.0 	100.0 	25.0 	25.0 	25.0 	0.00 	100.0 	100.0 
A,INL_EXC_PC,CH	37.2 	10.2 	73.1 	61.0 	50.5 	62.8 	61.1 	75.0 	82.1 	72.0 	82.5 	78.1 
A,INL_EXC_PC,CZ	63.4 	75.0 	76.4 	76.3 	79.1 	82.5 	81.8 	81.7 	81.1 	81.7 	81.3 	76.9 
A,INL_EXC_PC,DE	90.3 	89.7 	92.0 	92.2 	93.0 	92.8 	93.0 	94.1 	93.7 	91.1 	91.5 	90.9 
A,INL_EXC_PC,DK	82.4 	89.7 	93.9 	94.6 	95.5 	91.3 	93.0 	92.2 	94.0 	93.3 	95.9 	97.5 
A,INL_EXC_PC,EE	92.9 	88.9 	85.2 	85.2 	85.2 	81.5 	74.1 	77.8 	74.1 	74.3 	80.0 	82.9 
A,INL_EXC_PC,EL	66.7 	33.3 	33.3 	50.0 	100.0 	50.0 	66.7 	33.3 	66.7 	100.0 	100.0 	100.0 
A,INL_EXC_PC,ES	44.9 	46.1 	50.4 	49.6 	51.9 	50.0 	47.9 	48.3 	52.3 	52.2 	53.1 	55.9 
A,INL_EXC_PC,EU27_2020	70.3 	71.5 	76.5 	78.4 	81.0 	82.0 	82.2 	80.8 	79.1 	77.7 	78.2 	79.3 
A,INL_EXC_PC,FI	80.3 	88.1 	79.8 	83.0 	90.2 	92.0 	91.4 	91.1 	94.2 	94.7 	95.5 	95.1 
A,INL_EXC_PC,FR	53.8 	48.9 	67.2 	70.3 	71.8 	73.2 	74.6 	77.0 	75.7 	74.3 	72.3 	73.2 
A,INL_EXC_PC,HR	75.0 	0.0 	37.5 	11.1 	14.8 	14.8 	14.8 	51.9 	20.0 	14.6 	19.5 	26.2 
A,INL_EXC_PC,HU	55.7 	56.9 	53.1 	63.5 	68.7 	70.8 	70.8 	72.3 	70.8 	69.7 	60.2 	63.1 
A,INL_EXC_PC,IE	66.7 	77.8 	77.8 	88.9 	88.9 	88.9 	88.9 	88.9 	88.9 	88.9 	88.9 	88.9 
A,INL_EXC_PC,IT	77.0 	75.5 	77.2 	86.3 	91.4 	91.6 	89.8 	90.6 	90.0 	88.1 	86.4 	88.0 
A,INL_EXC_PC,LT	71.4 	70.4 	84.4 	85.4 	85.4 	84.7 	84.7 	84.2 	85.2 	84.6 	89.4 	89.5 
A,INL_EXC_PC,LU	50.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	73.3 	70.6 	82.4 	82.4 	76.5 
A,INL_EXC_PC,LV	64.3 	64.3 	61.1 	61.9 	63.6 	78.3 	87.0 	87.0 	79.2 	66.7 	70.8 	68.0 
A,INL_EXC_PC,NL	44.4 	65.5 	68.0 	70.6 	74.0 	73.7 	72.5 	72.6 	73.8 	73.5 	72.7 	73.5 
A,INL_EXC_PC,PL	58.0 	64.7 	60.7 	52.6 	64.9 	74.1 	83.3 	26.7 	18.7 	18.8 	44.9 	57.7 
A,INL_EXC_PC,PT	61.5 	62.9 	58.8 	52.8 	63.3 	69.6 	76.4 	78.9 	76.7 	74.5 	75.3 	65.6 
A,INL_EXC_PC,RO	: 	: 	0.0 	0.0 	100.0 	100.0 	0.0 	0.0 	0.0 	0.0 	0.0 	100.0 
A,INL_EXC_PC,SE	76.8 	74.5 	64.8 	62.8 	69.4 	75.4 	79.7 	86.5 	86.1 	81.7 	78.5 	81.0 
A,INL_EXC_PC,SI	50.0 	34.6 	53.9 	42.3 	46.2 	53.9 	53.9 	76.9 	69.2 	76.9 	73.1 	65.4 
A,INL_EXC_PC,SK	64.7 	72.7 	72.7 	57.6 	48.5 	63.6 	59.4 	56.3 	62.5 	56.3 	50.0 	59.4 
A,INL_NR,AL	: 	: 	: 	: 	: 	: 	: 	6 	6 	6 	6 	6 
A,INL_NR,AT	267 	266 	266 	266 	265 	264 	263 	263 	261 	261 	261 	260 
A,INL_NR,BE	79 	81 	71 	68 	71 	71 	71 	73 	73 	77 	81 	87 
A,INL_NR,BG	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 
A,INL_NR,CH	352 	335 	167 	210 	216 	231 	190 	192 	195 	189 	189 	196 
A,INL_NR,CZ	183 	160 	157 	152 	153 	154 	154 	153 	153 	153 	155 	156 
A,INL_NR,DE	1938 	1929 	1929 	1927 	1925 	1925 	1921 	1923 	1924 	1941 	1928 	1930 
A,INL_NR,DK	119 	117 	114 	111 	110 	115 	114 	116 	117 	120 	123 	122 
A,INL_NR,EE	28 	27 	27 	27 	27 	27 	27 	27 	27 	35 	35 	35 
A,INL_NR,EL	6 	6 	6 	2 	2 	2 	3 	3 	3 	3 	3 	3 
A,INL_NR,ES	225 	230 	230 	236 	241 	242 	259 	263 	266 	270 	277 	281 
A,INL_NR,EU27_2020	6495 	6437 	6467 	6486 	6483 	6510 	6556 	6806 	6933 	6967 	7080 	7139 
A,INL_NR,FI	239 	236 	233 	229 	224 	224 	222 	225 	224 	225 	224 	225 
A,INL_NR,FR	1311 	1294 	1303 	1307 	1293 	1294 	1310 	1310 	1304 	1273 	1294 	1296 
A,INL_NR,HR	4 	7 	8 	27 	27 	27 	27 	27 	35 	41 	41 	42 
A,INL_NR,HU	228 	232 	241 	244 	246 	253 	257 	253 	257 	264 	274 	279 
A,INL_NR,IE	9 	9 	9 	9 	9 	9 	9 	9 	9 	9 	9 	9 
A,INL_NR,IT	648 	629 	644 	643 	652 	654 	667 	668 	671 	672 	674 	675 
