freq,sex,leg_stat,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,T,PER_VICT,P_HTHAB,CZ	1.38 	0.53 	1.25 	0.96 	0.95 	0.83 	0.65 	0.04 	0.13 	: 	: 	0.22 	0.19 	0.13 	0.18 
A,T,PER_VICT,P_HTHAB,DE	0.84 	0.89 	0.80 	0.84 	0.78 	0.75 	0.72 	0.58 	0.65 	0.94 	0.73 	0.71 	0.82 	0.96 	2.01 
A,T,PER_VICT,P_HTHAB,DK	0.51 	0.85 	0.96 	1.08 	1.18 	1.36 	1.26 	1.64 	2.12 	1.71 	1.68 	1.10 	1.32 	1.37 	1.24 
A,T,PER_VICT,P_HTHAB,EE	4.11 	5.84 	4.28 	4.21 	1.66 	1.82 	0.15 	0.99 	0.76 	0.76 	0.91 	0.91 	0.38 	2.63 	6.53 
A,T,PER_VICT,P_HTHAB,EL	0.69 	1.09 	0.83 	0.87 	0.85 	0.93 	0.71 	1.46 	3.21 	1.34 	1.20 	1.44 	1.56 	1.47 	3.42 
A,T,PER_VICT,P_HTHAB,ES	: 	0.96 	3.45 	0.50 	0.27 	0.57 	0.33 	0.58 	0.42 	0.47 	0.51 	1.11 	0.57 	0.40 	0.48 
A,T,PER_VICT,P_HTHAB,EU_V	1.63 	1.70 	2.13 	1.69 	2.01 	1.57 	1.40 	1.61 	1.73 	1.74 	1.59 	1.74 	1.46 	1.60 	2.26 
A,T,PER_VICT,P_HTHAB,FI	0.55 	1.20 	1.29 	1.62 	1.39 	1.03 	0.84 	0.95 	2.37 	1.55 	1.60 	1.87 	2.57 	2.58 	4.31 
A,T,PER_VICT,P_HTHAB,FR	1.28 	1.21 	1.12 	1.01 	1.15 	1.33 	1.07 	: 	2.28 	1.98 	2.28 	2.18 	1.85 	2.68 	2.99 
A,T,PER_VICT,P_HTHAB,HR	0.19 	0.12 	0.16 	0.33 	0.26 	0.73 	0.87 	0.90 	0.72 	0.70 	1.85 	0.66 	0.37 	0.47 	0.75 
A,T,PER_VICT,P_HTHAB,HU	0.10 	0.09 	0.59 	1.34 	0.57 	1.78 	2.87 	5.14 	4.97 	4.24 	5.31 	0.69 	0.98 	2.07 	2.30 
A,T,PER_VICT,P_HTHAB,IE	: 	1.46 	1.71 	1.25 	1.05 	0.95 	0.99 	1.33 	1.59 	2.11 	1.68 	0.86 	0.77 	0.88 	0.83 
A,T,PER_VICT,P_HTHAB,IT	2.77 	4.10 	4.02 	2.63 	4.43 	1.25 	0.69 	1.29 	1.45 	1.75 	1.53 	2.04 	1.50 	1.28 	3.64 
A,T,PER_VICT,P_HTHAB,LT	0.78 	0.44 	0.48 	0.72 	0.47 	1.58 	1.60 	2.12 	1.56 	2.11 	1.57 	1.40 	0.86 	0.93 	0.53 
A,T,PER_VICT,P_HTHAB,LU	1.45 	0.61 	2.19 	2.34 	1.33 	1.49 	1.82 	1.24 	3.47 	2.88 	2.33 	2.12 	1.60 	7.88 	11.93 
A,T,PER_VICT,P_HTHAB,LV	1.00 	0.74 	0.99 	5.35 	7.04 	1.09 	1.70 	0.55 	0.97 	1.28 	1.19 	2.03 	2.52 	3.22 	1.39 
A,T,PER_VICT,P_HTHAB,MT	0.25 	0.00 	0.00 	0.72 	1.92 	2.60 	4.66 	0.91 	7.55 	1.09 	7.36 	1.82 	2.33 	0.78 	4.22 
A,T,PER_VICT,P_HTHAB,NL	5.03 	5.51 	5.99 	7.34 	10.23 	8.49 	8.90 	6.80 	5.61 	5.60 	3.89 	7.72 	5.65 	4.53 	4.63 
A,T,PER_VICT,P_HTHAB,PL	0.17 	0.17 	0.73 	0.81 	0.65 	0.58 	0.54 	0.30 	0.21 	1.19 	0.59 	0.55 	0.71 	1.18 	0.74 
A,T,PER_VICT,P_HTHAB,PT	0.24 	0.23 	0.08 	0.07 	0.05 	1.82 	1.40 	1.27 	1.86 	1.00 	1.18 	1.74 	1.02 	1.94 	2.38 
A,T,PER_VICT,P_HTHAB,RO	6.01 	3.82 	5.69 	5.19 	5.18 	4.48 	3.80 	4.43 	3.83 	3.37 	2.54 	3.60 	3.08 	2.63 	2.63 
A,T,PER_VICT,P_HTHAB,SE	0.23 	0.48 	1.03 	1.35 	0.93 	0.89 	1.01 	1.85 	2.00 	: 	: 	2.63 	2.00 	1.29 	1.64 
A,T,PER_VICT,P_HTHAB,SI	1.44 	1.48 	1.71 	1.02 	3.26 	1.94 	0.63 	2.28 	1.31 	3.20 	4.89 	0.34 	1.29 	1.90 	0.24 
A,T,PER_VICT,P_HTHAB,SK	0.52 	0.67 	0.52 	0.57 	0.74 	0.55 	0.63 	1.49 	0.83 	1.62 	1.03 	1.21 	1.14 	0.79 	1.07 
