freq,unit,sector,na_item,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC_GDP,S13,GD,EA20	69.2 	68.2 	68.1 	69.4 	69.7 	70.4 	68.4 	66.1 	69.7 	80.3 	85.8 	87.7 	91.2 	93.3 	93.5 	91.6 	90.4 	88.1 	86.2 	84.1 	97.2 	94.8 	90.8 	88.6 
A,PC_GDP,S13,GD,EE	5.1 	4.8 	5.7 	5.6 	5.1 	4.7 	4.6 	3.8 	4.5 	7.2 	6.7 	6.2 	9.8 	10.2 	10.6 	10.1 	10.0 	9.1 	8.2 	8.5 	18.6 	17.8 	18.5 	19.6 
A,PC_GDP,S13,GD,EL	104.9 	107.1 	104.9 	101.5 	102.9 	107.4 	103.6 	103.1 	109.4 	126.7 	147.5 	175.2 	162.0 	178.2 	180.3 	176.7 	180.5 	179.5 	186.4 	180.6 	207.0 	195.0 	172.7 	161.9 
A,PC_GDP,S13,GD,ES	57.8 	54.0 	51.2 	47.7 	45.4 	42.4 	39.1 	35.8 	39.7 	53.3 	60.5 	69.9 	90.0 	100.5 	105.1 	103.3 	102.7 	101.8 	100.4 	98.2 	120.3 	116.8 	111.6 	107.7 
A,PC_GDP,S13,GD,EU27_2020	66.5 	65.7 	65.6 	66.8 	67.1 	67.2 	65.1 	62.4 	65.2 	75.9 	80.6 	82.0 	85.2 	87.0 	87.2 	85.4 	84.3 	82.0 	79.9 	77.8 	90.0 	87.4 	83.4 	81.7 
A,PC_GDP,S13,GD,FI	45.1 	43.4 	42.6 	45.1 	44.9 	42.1 	40.2 	36.0 	34.7 	44.1 	50.1 	51.9 	57.7 	60.6 	64.5 	68.3 	68.0 	66.0 	64.8 	64.9 	74.7 	72.6 	73.5 	75.8 
A,PC_GDP,S13,GD,FR	59.5 	59.0 	60.9 	65.0 	66.6 	68.0 	65.3 	65.4 	69.7 	84.0 	86.3 	88.9 	91.7 	94.7 	96.3 	97.1 	98.0 	98.5 	98.2 	97.9 	114.9 	113.0 	111.9 	110.6 
A,PC_GDP,S13,GD,HR	35.4 	36.6 	36.5 	37.8 	39.9 	40.9 	38.4 	37.1 	38.9 	48.1 	56.9 	63.3 	69.0 	79.8 	83.4 	82.8 	79.1 	76.0 	72.6 	70.4 	86.1 	77.5 	67.8 	63.0 
A,PC_GDP,S13,GD,HU	55.7 	52.3 	55.6 	58.1 	58.8 	60.5 	64.4 	65.6 	71.8 	78.0 	80.0 	80.3 	78.2 	77.2 	76.5 	75.8 	74.9 	72.1 	69.1 	65.3 	79.3 	76.7 	74.1 	73.5 
A,PC_GDP,S13,GD,IE	36.4 	33.6 	30.9 	29.8 	28.1 	26.1 	23.6 	23.9 	42.5 	61.8 	86.2 	110.4 	119.9 	120.1 	104.0 	76.5 	74.4 	67.4 	62.9 	57.1 	58.1 	54.4 	44.4 	43.7 
A,PC_GDP,S13,GD,IT	109.0 	108.9 	106.4 	105.5 	105.1 	106.6 	106.7 	103.9 	106.2 	116.6 	119.2 	119.7 	126.5 	132.5 	135.4 	135.3 	134.8 	134.2 	134.5 	134.2 	155.0 	147.1 	140.5 	137.3 
A,PC_GDP,S13,GD,LT	23.5 	22.9 	22.2 	20.4 	18.7 	17.6 	17.3 	15.9 	14.6 	28.0 	36.2 	37.1 	39.7 	38.7 	40.5 	42.5 	39.7 	39.1 	33.7 	35.8 	46.2 	43.4 	38.1 	38.3 
A,PC_GDP,S13,GD,LU	7.5 	7.6 	7.4 	7.4 	7.8 	8.0 	8.2 	8.1 	14.6 	15.3 	19.1 	18.5 	20.8 	22.4 	21.9 	21.1 	19.6 	21.8 	20.9 	22.4 	24.6 	24.5 	24.7 	25.7 
A,PC_GDP,S13,GD,LV	12.1 	13.8 	13.0 	14.1 	14.6 	11.9 	10.0 	8.4 	18.5 	37.0 	47.6 	45.1 	42.4 	40.3 	41.6 	37.0 	40.3 	38.9 	37.0 	36.7 	42.7 	44.4 	41.8 	43.6 
A,PC_GDP,S13,GD,MT	60.7 	64.9 	63.1 	68.6 	71.3 	69.9 	64.3 	61.9 	61.8 	66.3 	65.5 	70.0 	66.6 	66.4 	62.1 	56.2 	54.7 	47.8 	43.4 	40.0 	52.2 	53.9 	51.6 	50.4 
A,PC_GDP,S13,GD,NL	52.2 	49.5 	48.9 	50.0 	50.3 	49.8 	45.2 	43.0 	54.7 	56.8 	59.3 	61.7 	66.2 	67.7 	67.9 	64.7 	61.9 	57.0 	52.4 	48.6 	54.7 	51.7 	50.1 	46.5 
A,PC_GDP,S13,GD,PL	36.4 	37.3 	41.7 	46.6 	45.1 	46.6 	47.3 	44.5 	46.7 	49.8 	54.0 	55.1 	54.8 	57.1 	51.4 	51.3 	54.5 	50.8 	48.7 	45.7 	57.2 	53.6 	49.2 	49.6 
A,PC_GDP,S13,GD,PT	54.2 	57.4 	60.0 	63.9 	67.1 	72.2 	73.7 	72.7 	75.6 	87.8 	100.2 	114.4 	129.0 	131.4 	132.9 	131.2 	131.5 	126.1 	121.5 	116.6 	134.9 	124.5 	112.4 	99.1 
A,PC_GDP,S13,GD,RO	22.5 	25.9 	24.8 	22.1 	18.9 	15.9 	12.4 	11.9 	12.3 	21.8 	29.0 	32.3 	35.4 	37.8 	39.1 	37.7 	37.8 	35.3 	34.4 	35.1 	46.7 	48.5 	47.5 	48.8 
A,PC_GDP,S13,GD,SE	50.3 	51.9 	49.8 	49.3 	48.5 	48.7 	43.6 	38.9 	37.5 	40.7 	38.1 	37.2 	37.5 	40.3 	45.0 	43.7 	42.2 	41.4 	39.6 	35.6 	40.2 	36.7 	33.2 	31.2 
A,PC_GDP,S13,GD,SI	25.9 	26.1 	27.4 	26.8 	26.9 	26.4 	26.1 	22.8 	21.8 	34.5 	38.3 	46.5 	53.6 	70.0 	80.3 	82.6 	78.5 	74.2 	70.3 	65.4 	79.6 	74.4 	72.5 	69.2 
A,PC_GDP,S13,GD,SK	50.5 	51.1 	45.3 	43.2 	41.7 	34.7 	31.4 	30.3 	28.6 	36.4 	40.6 	43.2 	51.7 	54.7 	53.5 	51.7 	52.3 	51.5 	49.4 	48.0 	58.8 	61.1 	57.7 	56.0 
